movie_id,original_title,revenue,budget,popularity,actors_cnt,original_language,language_en,language_fr,language_es,language_de,language_ru,language_it,language_ja,release_date,release_year,release_month,release_week,release_weekday,runtime,runtime_intervals,runtime_cat,is_collection,keywords_cnt,crew_total_cnt,crew_writing_cnt,crew_directing_cnt,crew_art_cnt,crew_sound_cnt,crew_costume_makeup_cnt,crew_visual_effects_cnt,crew_production_cnt,crew_actors_cnt,crew_camera_cnt,crew_lighting_cnt,crew_editing_cnt,sw_genre_action,sw_genre_adventure,sw_genre_animation,sw_genre_comedy,sw_genre_crime,sw_genre_documentary,sw_genre_drama,sw_genre_family,sw_genre_fantasy,sw_genre_foreign,sw_genre_history,sw_genre_horror,sw_genre_music,sw_genre_mystery,sw_genre_romance,sw_genre_science_fiction,sw_genre_thriller,sw_genre_tv_movie,sw_genre_war,sw_genre_western,genres_total,actor0_avg_revenue,actor0_avg_revenue_5y,actor0_blockbusters,actor0_blockbusters_5y,actor0_movies,actor0_movies_5y,actor0_gender,actor1_avg_revenue,actor1_avg_revenue_5y,actor1_blockbusters,actor1_blockbusters_5y,actor1_movies,actor1_movies_5y,actor1_gender,actor2_avg_revenue,actor2_avg_revenue_5y,actor2_blockbusters,actor2_blockbusters_5y,actor2_movies,actor2_movies_5y,actor2_gender,all_directors_avg_revenue,all_directors_avg_blockbusters,all_directors_avg_revenue_5y,all_directors_avg_blockbusters_5y,all_producers_avg_revenue,all_producers_avg_blockbusters,all_producers_avg_revenue_5y,all_producers_avg_blockbusters_5y
1,Hot Tub Time Machine 2,12314651,14000000,6.575393,24,en,1,0,0,0,0,0,0,2015-02-20,2015,2,8,6,93,9,Intermediate,0,4,72,2,4,12,10,0,0,9,0,8,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53164966,71823535,2,2,5,3,2,46134285,15843947,1,0,7,3,2,55244499,36507326,2,0,6,2,2,33274115,0,30658668,0,101192633,1,12314651,0
2,The Princess Diaries 2: Royal Engagement,95149435,40000000,8.248895,20,en,1,0,0,0,0,0,0,2004-08-06,2004,8,32,6,113,11,Intermediate,0,4,9,1,1,0,1,0,0,4,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,311294147,500188435,6,1,7,1,1,75729062,NULL,4,0,7,0,1,83349050,72927633,4,1,9,2,2,113707282,3,48418160,0,118162119,2,NULL,0
3,Whiplash,13092000,3300000,64.29999,51,en,1,0,0,0,0,0,0,2014-10-10,2014,10,41,6,105,11,Intermediate,0,12,64,1,3,5,9,0,0,18,0,4,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54445557,64308856,2,2,6,5,2,96743556,185404757,9,1,25,6,2,31820076,31820076,0,0,2,2,1,13092000,0,13092000,0,43944921.8,2,31450731.5,1
4,Kahaani,16000000,1200000,3.174936,7,hi,0,0,0,0,0,0,0,2012-03-09,2012,3,10,6,122,12,Long,0,7,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10050000,NULL,0,0,2,0,1,7083026,2624539,0,0,3,2,2,16000000,NULL,0,0,1,0,0,16000000,0,NULL,0,16000000,0,NULL,0
5,????,3923970,0,1.14807,4,ko,0,0,0,0,0,0,0,2009-02-05,2009,2,6,5,118,12,Intermediate,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3923970,NULL,0,0,1,0,2,1963155,2340,0,0,2,1,2,3923970,NULL,0,0,1,0,2,3923970,0,NULL,0,NULL,NULL,NULL,NULL
6,Pinocchio and the Emperor of the Night,3261638,8000000,0.743274,4,en,1,0,0,0,0,0,0,1987-08-06,1987,8,32,5,83,8,Short,0,0,11,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,56512325,NULL,1,0,3,0,2,40369323,NULL,1,0,2,0,2,3261638,NULL,0,0,1,0,0,3261638,0,NULL,0,NULL,NULL,NULL,NULL
7,The Possession,85446075,14000000,7.286477,14,en,1,0,0,0,0,0,0,2012-08-30,2012,8,35,5,92,9,Intermediate,0,0,77,4,4,4,8,0,0,8,0,11,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,36806101,42070000,2,0,8,1,2,85446075,NULL,1,0,1,0,0,248407187,362637473,3,1,3,1,1,43312539,1,NULL,0,NULL,NULL,NULL,NULL
8,Control Room,2586511,0,1.949044,4,en,1,0,0,0,0,0,0,2004-01-15,2004,1,3,5,84,8,Short,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2586511,NULL,0,0,1,0,0,2586511,NULL,0,0,1,0,0,67966509,133346506,1,1,2,1,2,2586511,0,NULL,0,NULL,NULL,NULL,NULL
9,Muppet Treasure Island,34327391,0,6.902423,12,en,1,0,0,0,0,0,0,1996-02-16,1996,2,7,6,100,10,Intermediate,0,4,8,2,1,0,1,0,0,2,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,66061224,NULL,4,0,11,0,2,22739976,NULL,0,0,4,0,2,57414454,37915971,1,0,3,1,1,34327391,0,NULL,0,34327391,0,NULL,0
10,A Mighty Wind,18750246,6000000,4.672036,20,en,1,0,0,0,0,0,0,2003-04-16,2003,4,16,4,91,9,Intermediate,0,2,11,2,1,3,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,50926153,2681345,2,0,6,1,2,82899158,NULL,1,0,4,0,2,111735714,151165787,9,1,14,1,2,18750246,0,NULL,0,18750246,0,NULL,0
