original_title,revenue,budget,popularity,actors_cnt,original_language,language_en,language_fr,language_es,language_de,language_ru,language_it,language_ja,release_date,release_year,release_month,release_week,release_weekday,runtime,runtime_intervals,runtime_cat,is_collection,keywords_cnt,crew_total_cnt,crew_writing_cnt,crew_directing_cnt,crew_art_cnt,crew_sound_cnt,crew_costume_makeup_cnt,crew_visual_effects_cnt,crew_production_cnt,crew_actors_cnt,crew_camera_cnt,crew_lighting_cnt,crew_editing_cnt,sw_genre_action,sw_genre_adventure,sw_genre_animation,sw_genre_comedy,sw_genre_crime,sw_genre_documentary,sw_genre_drama,sw_genre_family,sw_genre_fantasy,sw_genre_foreign,sw_genre_history,sw_genre_horror,sw_genre_music,sw_genre_mystery,sw_genre_romance,sw_genre_science_fiction,sw_genre_thriller,sw_genre_tv_movie,sw_genre_war,sw_genre_western,genres_total,actor0_avg_revenue,actor0_avg_revenue_5y,actor0_blockbusters,actor0_blockbusters_5y,actor0_movies,actor0_movies_5y,actor0_gender,actor1_avg_revenue,actor1_avg_revenue_5y,actor1_blockbusters,actor1_blockbusters_5y,actor1_movies,actor1_movies_5y,actor1_gender,actor2_avg_revenue,actor2_avg_revenue_5y,actor2_blockbusters,actor2_blockbusters_5y,actor2_movies,actor2_movies_5y,actor2_gender,all_directors_avg_revenue,all_directors_avg_blockbusters,all_directors_avg_revenue_5y,all_directors_avg_blockbusters_5y,all_producers_avg_revenue,all_producers_avg_blockbusters,all_producers_avg_revenue_5y,all_producers_avg_blockbusters_5y
Hot Tub Time Machine 2,13283126,15101018,6.575393,24,en,1,0,0,0,0,0,0,2015-02-20,2015,2,8,6,93,9,Intermediate,0,4,72,2,4,12,10,0,0,9,0,8,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53164966,71823535,2,2,5,3,2,46134285,15843947,1,0,7,3,2,55244499,36507326,2,0,6,2,2,33274115,0,30658668,0,101192633,1,12314651,0
The Princess Diaries 2: Royal Engagement,128775114,54135945,8.248895,20,en,1,0,0,0,0,0,0,2004-08-06,2004,8,32,6,113,11,Intermediate,0,4,9,1,1,0,1,0,0,4,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,311294147,500188435,6,1,7,1,1,75729062,NULL,4,0,7,0,1,83349050,72927633,4,1,9,2,2,113707282,3,48418160,0,118162119,2,NULL,0
Whiplash,14138371,3563751,64.29999,51,en,1,0,0,0,0,0,0,2014-10-10,2014,10,41,6,105,11,Intermediate,0,12,64,1,3,5,9,0,0,18,0,4,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54445557,64308856,2,2,6,5,2,96743556,185404757,9,1,25,6,2,31820076,31820076,0,0,2,2,1,13092000,0,13092000,0,43944921.8,2,31450731.5,1
Kahaani,17816284,1336221,3.174936,7,hi,0,0,0,0,0,0,0,2012-03-09,2012,3,10,6,122,12,Long,0,7,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10050000,NULL,0,0,2,0,1,7083026,2624539,0,0,3,2,2,16000000,NULL,0,0,1,0,0,16000000,0,NULL,0,16000000,0,NULL,0
????,4676072,0,1.14807,4,ko,0,0,0,0,0,0,0,2009-02-05,2009,2,6,5,118,12,Intermediate,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3923970,NULL,0,0,1,0,2,1963155,2340,0,0,2,1,2,3923970,NULL,0,0,1,0,2,3923970,0,NULL,0,NULL,NULL,NULL,NULL
Pinocchio and the Emperor of the Night,7340322,18004014,0.743274,4,en,1,0,0,0,0,0,0,1987-08-06,1987,8,32,5,83,8,Short,0,0,11,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,56512325,NULL,1,0,3,0,2,40369323,NULL,1,0,2,0,2,3261638,NULL,0,0,1,0,0,3261638,0,NULL,0,NULL,NULL,NULL,NULL
The Possession,95145723,15589249,7.286477,14,en,1,0,0,0,0,0,0,2012-08-30,2012,8,35,5,92,9,Intermediate,0,0,77,4,4,4,8,0,0,8,0,11,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,36806101,42070000,2,0,8,1,2,85446075,NULL,1,0,1,0,0,248407187,362637473,3,1,3,1,1,43312539,1,NULL,0,NULL,NULL,NULL,NULL
Control Room,3500580,0,1.949044,4,en,1,0,0,0,0,0,0,2004-01-15,2004,1,3,5,84,8,Short,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2586511,NULL,0,0,1,0,0,2586511,NULL,0,0,1,0,0,67966509,133346506,1,1,2,1,2,2586511,0,NULL,0,NULL,NULL,NULL,NULL
Muppet Treasure Island,55933957,0,6.902423,12,en,1,0,0,0,0,0,0,1996-02-16,1996,2,7,6,100,10,Intermediate,0,4,8,2,1,0,1,0,0,2,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,66061224,NULL,4,0,11,0,2,22739976,NULL,0,0,4,0,2,57414454,37915971,1,0,3,1,1,34327391,0,NULL,0,34327391,0,NULL,0
A Mighty Wind,26052346,8336641,4.672036,20,en,1,0,0,0,0,0,0,2003-04-16,2003,4,16,4,91,9,Intermediate,0,2,11,2,1,3,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,50926153,2681345,2,0,6,1,2,82899158,NULL,1,0,4,0,2,111735714,151165787,9,1,14,1,2,18750246,0,NULL,0,18750246,0,NULL,0
Rocky,526748435,4493093,14.774066,37,en,1,0,0,0,0,0,0,1976-11-21,1976,11,48,1,119,12,Intermediate,0,16,31,1,4,3,3,0,0,6,0,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165665154,534794343,14,2,21,2,2,155599451,NULL,6,0,7,0,1,120853671,NULL,4,0,6,0,2,73968254,3,NULL,0,115956082.5,4,NULL,0
Revenge of the Nerds II: Nerds in Paradise,50955935,0,10.54375,14,en,1,0,0,0,0,0,0,1987-07-10,1987,7,28,6,98,10,Intermediate,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10797103,NULL,0,0,8,0,2,64926233,151165787,2,1,5,1,2,16169886,NULL,0,0,2,0,2,18648831,0,NULL,0,NULL,NULL,NULL,NULL
American Beauty,546757024,23018337,20.726578,40,en,1,0,0,0,0,0,0,1999-09-15,1999,9,38,4,122,12,Long,0,21,109,3,5,11,19,0,0,11,0,7,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116194070,112783303,6,1,14,2,2,89515317,350006,3,0,8,1,1,267174094,NULL,2,0,2,0,1,337190156,3,880674609,1,238042634.5,1,6174491,0
Be Cool,124655520,69379524,13.314233,59,en,1,0,0,0,0,0,0,2005-03-04,2005,3,10,6,118,12,Intermediate,0,8,18,2,1,4,1,0,0,7,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105983477,NULL,6,0,12,0,2,85765871,36606743,4,0,10,1,1,72980110,22002094,6,0,16,2,2,85965783,2,NULL,0,62479890.8,3,35716676,0
Minority Report,509285976,144952829,20.666063,23,en,1,0,0,0,0,0,0,2002-06-20,2002,6,25,5,145,15,Long,0,9,156,4,4,19,17,0,0,21,0,15,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,205640507,407778013,9,1,15,1,2,93024424,103175255,6,1,14,3,2,321256013,NULL,2,0,2,0,1,417390523,10,165478348,1,246244045.3,2,15795033.7,0
Šišanje,232,586219,1.018477,13,sr,0,0,0,0,0,0,0,2010-10-06,2010,10,41,4,97,10,Intermediate,0,2,25,4,1,1,4,0,0,2,0,3,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,198,NULL,0,0,1,0,2,198,NULL,0,0,1,0,0,198,NULL,0,0,1,0,0,198,0,NULL,0,198,0,NULL,0
Red Eye,75783127,34035238,6.336927,24,en,1,0,0,0,0,0,0,2005-08-04,2005,8,32,5,85,9,Short,0,4,35,1,2,4,1,0,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,102107552,28486530,6,1,10,4,1,203268808,32824615,6,1,11,3,2,94302578,243637091,7,1,18,1,2,41920645,1,NULL,0,50633329,1,14947,0
The Invisible Woman,1354523,0,4.183558,19,en,1,0,0,0,0,0,0,2013-12-25,2013,12,52,4,111,11,Intermediate,0,2,31,2,1,7,6,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,190447827,294630456,5,1,9,3,2,38009385,59088070,2,2,10,6,1,10168271,1528252,0,0,4,2,1,1153428,0,1234254,0,1214047.5,0,1234254,0
Chalet Girl,1988365,9092492,6.496259,23,en,1,0,0,0,0,0,0,2011-02-02,2011,2,6,4,96,10,Intermediate,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,38009385,59088070,2,2,10,6,1,2924729,NULL,0,0,2,0,2,51804249,NULL,1,0,5,0,1,20927500,0,NULL,0,NULL,NULL,NULL,NULL
Transporter 2,111488495,41889524,11.359659,10,en,1,0,0,0,0,0,0,2005-08-02,2005,8,32,3,87,9,Short,0,5,17,4,2,0,1,0,0,6,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,163019915,400531530,11,3,21,5,2,85167639,NULL,1,0,1,0,1,116524091,NULL,2,0,2,0,1,67994599,2,71440912,1,52233764.5,1,41555433,0
