test_date,positives
2020-03-11,46
2020-03-12,47
2020-03-13,41
2020-03-14,52
2020-03-15,111
2020-03-16,133
2020-03-17,155
2020-03-18,217
2020-03-19,213
2020-03-20,222
2020-03-21,238
2020-03-22,399
2020-03-23,521
2020-03-24,481
2020-03-25,634
2020-03-26,666
2020-03-27,638
2020-03-28,578
2020-03-29,577
2020-03-30,773
2020-03-31,952
2020-04-01,991
2020-04-02,930
2020-04-03,729
2020-04-04,684
2020-04-05,914
2020-04-06,776
2020-04-07,826
2020-04-08,567
2020-04-09,629
2020-04-10,821
2020-04-11,930
2020-04-12,854
2020-04-13,1065
2020-04-14,1011
2020-04-15,797
2020-04-16,754
2020-04-17,784
2020-04-18,923
2020-04-19,1016
2020-04-20,808
2020-04-21,930
2020-04-22,806
2020-04-23,1005
2020-04-24,889
2020-04-25,492
2020-04-26,683
2020-04-27,717
2020-04-28,550
2020-04-29,461
2020-04-30,581
2020-05-01,486
2020-05-02,188
2020-05-03,288
2020-05-04,393
2020-05-05,387
2020-05-06,305
2020-05-07,330
2020-05-08,276
2020-05-09,56
2020-05-10,259
2020-05-11,326
2020-05-12,234
2020-05-13,186
2020-05-14,163
2020-05-15,95
2020-05-16,18
2020-05-17,106
2020-05-18,160
2020-05-19,93
2020-05-20,76
2020-05-21,89
2020-05-22,60
2020-05-23,10
2020-05-24,64
2020-05-25,129
2020-05-26,71
2020-05-27,96
2020-05-28,138
2020-05-29,98
2020-05-30,55
2020-05-31,160
2020-06-01,171
2020-06-02,152
2020-06-03,205
2020-06-04,206
2020-06-05,117
2020-06-06,78
2020-06-07,267
2020-06-08,173
2020-06-09,323
2020-06-10,318
2020-06-11,286
2020-06-12,165
2020-06-13,95
2020-06-14,320
2020-06-15,419
2020-06-16,344
2020-06-17,403
2020-06-18,407
2020-06-19,354
2020-06-20,80
2020-06-21,448
2020-06-22,582
2020-06-23,575
2020-06-24,671
2020-06-25,778
2020-06-26,487
2020-06-27,258
2020-06-28,857
2020-06-29,1126
2020-06-30,1244
2020-07-01,1271
2020-07-02,448
