customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,1,NpPhoneService,No phone service,DSL,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,29.85,29.85
5575-GNVDE,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,34,PhoneService,NoMultipleLines,DSL,OnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,One year,NoPaperlessBilling,Mailed check,56.95,1889.5
3668-QPYBK,Churning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,2,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Mailed check,53.85,108.15
7795-CFOCW,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,45,NpPhoneService,No phone service,DSL,OnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,One year,NoPaperlessBilling,Bank transfer (automatic),42.3,1840.75
9237-HQITU,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,2,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,70.7,151.65
9305-CDSKC,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,8,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,99.65,820.5
1452-KIOVK,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,Dependents,22,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),89.1,1949.4
6713-OKOMC,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,10,NpPhoneService,No phone service,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Mailed check,29.75,301.9
7892-POOKP,Churning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,28,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,104.8,3046.05
6388-TABGU,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,Dependents,62,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,One year,NoPaperlessBilling,Bank transfer (automatic),56.15,3487.95
