Cancel Date,Code,Service,Staff,Booking Date,Canceled By,Days
05/22/2018,MASA01,CFC,JOANNE,05/24/2018,ADMIN,2
06/27/2018,MASA01,CBAL,KELLY,06/27/2018,ADMIN,0
07/03/2018,MASA01,SHCM,BECKY,07/10/2018,BECKY,7
07/10/2018,MASA01,SHCC,JJ,07/11/2018,KELLY,1
07/24/2018,TRUA01,SHCM,KELLY,07/24/2018,TANYA,0
07/27/2018,GOOA01,SHCW,JJ,07/28/2018,TANYA,1
04/13/2018,MOLA01,SHCW,JJ,04/20/2018,BECKY,7
07/21/2018,?A01,SBD,KELLY,07/21/2018,TANYA,0
07/07/2018,ABL*01,SBD,KELLY,07/07/2018,JJ,0
04/04/2018,SARA01,CBAL,KELLY,04/04/2018,KELLY,0
06/14/2018,TAA01,CDPB,JOANNE,06/14/2018,JOANNE,0
07/19/2018,LIAA01,FRI,JJ,07/19/2018,TANYA,0
06/30/2018,TAMA01,SHCW,KELLY,06/30/2018,BECKY,
06/30/2018,TAMA01,CBAL,KELLY,06/30/2018,BECKY,
07/10/2018,JACA01,SHCW,JJ,07/11/2018,BECKY,1
07/10/2018,JACA01,SHCW,JJ,07/11/2018,BECKY,1
07/10/2018,JACA01,CFC,JOANNE,07/11/2018,BECKY,1
07/10/2018,JACA01,SHCW,JJ,07/11/2018,JJ,1
07/10/2018,JACA01,SHCW,JJ,07/11/2018,JJ,1
07/10/2018,JACA01,CFC,JOANNE,07/11/2018,JJ,1
07/12/2018,JACA01,SHCW,JJ,07/12/2018,KELLY,0
07/24/2018,GOOA02,SHCW,JJ,07/26/2018,TANYA,2
05/31/2018,PAUB01,CBAL,KELLY,05/31/2018,JJ,0
05/21/2018,HIMB01,SHCW,JJ,05/22/2018,JJ,1
05/08/2018,CARB01,CON,BECKY,05/08/2018,JJ,0
05/08/2018,DONB01,SBD,SINEAD,05/12/2018,SINEAD,4
05/08/2018,DONB01,CHLPL,JOANNE,05/12/2018,SINEAD,4
05/17/2018,DONB01,SHCW,JJ,05/17/2018,BECKY,0
05/17/2018,DONB01,CCO,JOANNE,05/17/2018,BECKY,0
05/18/2018,DONB01,CBAL,KELLY,05/18/2018,BECKY,0
05/18/2018,DONB01,CHLPHC,JOANNE,06/05/2018,JOANNE,18
06/01/2018,DONB01,SMO,BECKY,06/01/2018,BECKY,0
04/10/2018,MOIB01,CTU,KELLY,04/26/2018,JJ,16
05/28/2018,MOIB01,SHCW,SINEAD,05/30/2018,JJ,2
07/09/2018,ELCB01,CTU,JOANNE,07/10/2018,JJ,1
06/07/2018,COLB01,SHCM,JJ,06/07/2018,KELLY,0
07/10/2018,INFB01,CON,KELLY,07/13/2018,BECKY,3
05/22/2018,HENB01,SHCM,JJ,06/05/2018,JJ,14
06/19/2018,HENB01,SHCM,JJ,06/19/2018,JJ,0
05/10/2018,BHAB01,SDUD,BECKY,05/17/2018,JJ,7
05/29/2018,WALC01,SBD,BECKY,05/29/2018,JJ,0
07/10/2018,SCHC01,CALC,JOANNE,07/27/2018,KELLY,17
07/10/2018,SCHC01,CALC,JOANNE,07/13/2018,KELLY,3
07/19/2018,OZDC02,CDPB,JOANNE,07/19/2018,KELLY,0
03/27/2018,WIL*01,SHCW,JJ,03/29/2018,JJ,2
06/28/2018,MEIC01,SHCM,KELLY,06/28/2018,KELLY,0
06/29/2018,GAD*01,CFC,JOANNE,06/29/2018,BECKY,0
04/12/2018,CHOC01,SHCW,BECKY,04/13/2018,JJ,1
06/30/2018,WOOD02,SBD,JJ,06/30/2018,JJ,0
07/15/2018,WOOD02,SBD,BECKY,07/15/2018,JJ,0
05/24/2018,JOHD01,SHCM,SINEAD,05/31/2018,JJ,7
07/17/2018,FLAD01,SHCM,BECKY,08/25/2018,JJ,39
05/02/2018,GUYD01,SHCM,BECKY,05/03/2018,JJ,1
05/02/2018,GUYD01,CCAMO,BECKY,05/03/2018,JJ,1
04/25/2018,ROLD01,SHCM,JJ,04/25/2018,SINEAD,0
07/17/2018,THOD01,SHCM,JJ,07/17/2018,JOANNE,0
07/13/2018,LAMD01,CON,JOANNE,07/14/2018,BECKY,1
07/13/2018,LAMD01,CBAL,JOANNE,07/13/2018,BECKY,0
04/27/2018,GOSD01,SHCW,JJ,05/17/2018,BECKY,20
05/08/2018,SKUD01,SBD,BECKY,05/12/2018,SINEAD,4
05/18/2018,SKUD01,SBD,BECKY,05/26/2018,JJ,8
07/19/2018,SKUD01,SBD,BECKY,07/19/2018,TANYA,0
05/17/2018,HILD01,SBD,KELLY,05/31/2018,ADMIN,14
05/17/2018,HILD01,CHLPHC,JOANNE,05/31/2018,ADMIN,14
05/28/2018,HILD01,SBD,BECKY,05/29/2018,JJ,1
06/25/2018,DUFD01,CON,JJ,06/29/2018,JJ,4
06/02/2018,CHAD01,SHCW,KELLY,06/09/2018,SINEAD,7
06/02/2018,CHAD01,CHLPL,JOANNE,06/09/2018,SINEAD,7
06/22/2018,PET*01,SHCW,JJ,06/22/2018,KELLY,0
07/12/2018,PET*01,SHCW,JJ,07/14/2018,TANYA,2
04/04/2018,KEN*01,SHCW,SINEAD,05/29/2018,KELLY,55
05/23/2018,KEN*01,CBAL,JOANNE,05/29/2018,KELLY,6
05/04/2018,CAND01,CCAMO,JJ,05/04/2018,JJ,0
07/13/2018,CAND01,CCAMO,JJ,07/13/2018,TANYA,0
04/28/2018,TAYE01,SHCM,JJ,04/28/2018,JJ,0
05/22/2018,MENE01,SHCW,SINEAD,05/23/2018,ADMIN,1
07/17/2018,PAE01,SHCW,KELLY,09/21/2018,JJ,66
05/05/2018,IRWE01,CON,JOANNE,06/02/2018,JJ,28
06/21/2018,VARE01,SHCW,JJ,06/21/2018,BECKY,0
07/27/2018,JONE01,SMARTBOND,KELLY,07/27/2018,KELLY,0
04/22/2018,BREF01,SHCM,JJ,04/24/2018,JJ,2
04/03/2018,BUDG02,SHCM,SINEAD,04/21/2018,BECKY,18
06/14/2018,COLG01,SBD,BECKY,06/21/2018,BECKY,7
04/03/2018,STRH01,CHLFH,KELLY,04/04/2018,JJ,1
07/03/2018,BREH01,SBD,JJ,07/07/2018,BECKY,4
04/11/2018,HENI01,SHCW,JJ,05/03/2018,SINEAD,22
06/30/2018,WOOJ02,SHCM,BECKY,06/30/2018,JJ,0
05/24/2018,THOJ01,TRE 1,SINEAD,05/24/2018,JJ,0
06/28/2018,OHA*01,SHCC,BECKY,06/29/2018,KELLY,1
05/25/2018,MAEJ01,CFC,BECKY,06/02/2018,JJ,8
07/18/2018,BORJ01,SHCM,JJ,07/18/2018,JJ,0
04/28/2018,BISJ01,SBD,JJ,04/28/2018,SINEAD,0
