Code,Staff,Service,Date,Time,TimeInt
JUNJ01,JJ,CON,03/14/2018,3:50:00 PM,950
NORJ01,JJ,SHCM,03/14/2018,4:00:00 PM,960
CORS01,JJ,SHCW,03/15/2018,2:10:00 PM,850
KERT01,JJ,SHCW,03/15/2018,10:00:00 AM,600
LEHJ01,JJ,SHCM,03/15/2018,6:00:00 PM,1080
SCHJ01,JJ,SHCM,03/15/2018,12:00:00 PM,720
SCHJ01,JJ,CCAMO,03/15/2018,12:50:00 PM,770
SCHJ02,JJ,SHCM,03/15/2018,3:20:00 PM,920
THOD01,JJ,SHCM,03/15/2018,1:10:00 PM,790
CHEW01,JJ,SHCW,03/16/2018,10:00:00 AM,600
PARC01,JJ,SHCW,03/16/2018,11:00:00 AM,660
SLEA01,JJ,SHCM,03/16/2018,12:00:00 PM,720
STEH01,JJ,SHCM,03/16/2018,1:00:00 PM,780
STRH01,JJ,SHCW,03/16/2018,5:40:00 PM,1060
TSUL01,JJ,SHCW,03/16/2018,4:30:00 PM,990
ERWS01,JJ,SHCW,03/20/2018,11:30:00 AM,690
HOT01,JJ,SHCW,03/20/2018,2:30:00 PM,870
HUDS01,JJ,SHCW,03/20/2018,10:30:00 AM,630
MAIK01,JJ,SHCW,03/20/2018,4:50:00 PM,1010
NGUS01,JJ,SHCW,03/20/2018,9:30:00 AM,570
BERI01,JJ,SHCM,03/21/2018,11:00:00 AM,660
CASH01,JJ,SHCW,03/21/2018,3:20:00 PM,920
KRIJ01,JJ,SHCW,03/21/2018,10:00:00 AM,600
POTR01,JJ,SHCM,03/21/2018,4:30:00 PM,990
ROLD01,JJ,SHCM,03/21/2018,12:50:00 PM,770
YUES01,JJ,SHCW,03/21/2018,9:00:00 AM,540
GALB01,JJ,SHCM,03/22/2018,5:30:00 PM,1050
GOSD01,JJ,SHCW,03/22/2018,1:10:00 PM,790
HYSA01,JJ,SHCM,03/22/2018,11:00:00 AM,660
OKEM01,JJ,SHCW,03/22/2018,2:20:00 PM,860
TAYD01,JJ,SHCW,03/22/2018,12:00:00 PM,720
DAV*01,JJ,SHCW,03/23/2018,5:20:00 PM,1040
DUFD01,JJ,CON,03/23/2018,10:40:00 AM,640
MOOH01,JJ,SHCW,03/23/2018,2:00:00 PM,840
MUMK01,JJ,SHCW,03/23/2018,3:10:00 PM,910
STEL01,JJ,SHCW,03/23/2018,4:10:00 PM,970
TAYE01,JJ,SHCM,03/23/2018,1:10:00 PM,790
WARG01,JJ,SHCW,03/23/2018,11:00:00 AM,660
APTM01,JJ,SHCM,03/24/2018,11:00:00 AM,660
HIMJ01,JJ,CON,03/24/2018,12:00:00 PM,720
BRES01,JJ,SHCW,03/27/2018,12:40:00 PM,760
BUSC01,JJ,SHCW,03/27/2018,4:30:00 PM,990
