IsActive,Code,Description,Supplier,Brand,Category,Price,On Hand,Minimum,Maximum,Cost,COG,YTD,Package
TRUE,AGBALANCE335M,AG balance 355ml,VENUS,AG,RETAIL,30,2,2,2,0,0,27,FALSE
TRUE,AGBOOST355ML,AG Boost 355ml,VENUS,AG,RETAIL,30,3,2,2,18,54,0,FALSE
TRUE,AGCLOUD107ML,AG Cloud 107ml,VENUS,AG,RETAIL,26,4,2,2,15.6,62.4,23.4,FALSE
TRUE,AGDRYLIFT44ML,AG Dry Lift 44ml,VENUS,AG,RETAIL,24,1,2,2,14.4,14.4,43.2,FALSE
TRUE,AGREMEDY148ML,AG Remedy 148ml,VENUS,AG,RETAIL,26,3,2,2,15.6,46.8,0,FALSE
TRUE,AGROSEHIP89ML,AG Rosehip Balm 89ml,VENUS,AG,RETAIL,28,3,2,2,16.8,50.4,0,FALSE
TRUE,DMPM9.1G,Design me Puff me 1.9g,VENUS,DM,RETAIL,19.5,3,2,2,9.75,29.25,35.1,FALSE
TRUE,DMPML9.1G,Design me Puff me light 9.1g,VENUS,DM,RETAIL,19.5,3,2,2,9.75,29.25,17.55,FALSE
TRUE,ELCHIM DIFFUSE,Elchim diffuser,,,RETAIL,40,2,0,0,20,40,40,FALSE
TRUE,ELCHIM DRYER,elchim dryer,,,,249,3,0,0,139,417,1269.9,FALSE
TRUE,KM AGL 150ML,KM Anti gravity lotion 150ml,TBBS,KM,RETAIL,32,4,1,1,16,64,44.8,FALSE
TRUE,KM BB 350M,KM Body builder 350m,TBBS,KM,RETAIL,34.5,0,0,0,17.25,0,110.4,FALSE
TRUE,KM DO 250ML,KM Doo over 250ml,TBBS,KM,RETAIL,34.5,1,2,2,17.25,17.25,100.05,FALSE
TRUE,KM ER 100G,KM Easy rider 100g,TBBS,KM,RETAIL,32,1,1,1,16,16,60.8,FALSE
TRUE,KM KC 200ML,KM Killer curls 200ml,TBBS,KM,RETAIL,40,2,1,1,20,40,72,FALSE
TRUE,KM ML 150ML,KM Motion lotion 150ml,TBBS,KM,RETAIL,32,0,2,2,16,0,201.6,FALSE
TRUE,KM NR 100G,KM Night Rider 100g,TBBS,KM,RETAIL,32,0,2,2,16,0,208,FALSE
TRUE,KM RRG 100G,KM Rough Rider 100g,TBBS,KM,RETAIL,32,0,0,0,16,0,16,FALSE
TRUE,KM SA 200M,KM Smooth Again 200ml,TBBS,KM,RETAIL,40,0,0,0,20,0,40,FALSE
TRUE,LP HTU AUBURN,LP hair touch up Auburn 59ml,LOREAL,LOREAL,RETAIL,20.5,4,2,2,12.3,49.2,0,FALSE
TRUE,LP HTU BLACK,LP hair touch up Dbrown/black,LOREAL,LOREAL,RETAIL,20.5,4,2,2,12.3,49.2,0,FALSE
TRUE,LP HTU BROWN,LP hair touch up brown 59ml,LOREAL,LOREAL,RETAIL,20.5,2,2,2,12.3,24.6,36.9,FALSE
TRUE,LP HTU DBLONDE,LP hair touch up dark blond 59,LOREAL,LOREAL,RETAIL,20.5,3,2,2,12.3,36.9,18.45,FALSE
TRUE,LP HTU LBROWN,LP hair touch up light brown 5,LOREAL,LOREAL,RETAIL,20.5,3,2,2,12.3,36.9,18.45,FALSE
TRUE,LP SILVE SH300,LP Silver Shampoo 300ml,LOREAL,LOREAL,RETAIL,25.5,1,2,2,15.3,15.3,45.9,FALSE
TRUE,LPHOM ST150M,LP homme strong 150m,LOREAL,LOREAL,RETAIL,20.5,1,2,2,0,0,58.02,FALSE
TRUE,LPSB CON250M,LP Smart Bond con 250ml,LOREAL,LOREAL,RETAIL,31,2,2,2,17.99,35.98,27.9,FALSE
TRUE,LPTAAIRFIX400M,LP TA air fix 400ml,LOREAL,LOREAL,RETAIL,23.5,2,2,2,7.05,14.1,0,FALSE
TRUE,LPTACON150M,LP TA constructor 150m,LOREAL,LOREAL,RETAIL,24.5,2,2,2,14.4,28.8,0,FALSE
TRUE,LPWSBEACHWAVE1,LP wild stylers beach waves 15,LOREAL,LOREAL,RETAIL,27,3,3,3,15.45,46.35,24.3,FALSE
TRUE,LPWSCREPAGE200,LP wild stylers crepage de chi,LOREAL,LOREAL,RETAIL,25.5,2,2,2,14.7,29.4,0,FALSE
TRUE,LPWSDEPOLISH,LP wild stylers depolish 100ml,LOREAL,LOREAL,RETAIL,25,3,3,3,14.7,44.1,14.7,FALSE
TRUE,LPWSSAVAGEPANA,LP wild stylers savage panache,LOREAL,LOREAL,RETAIL,26,3,3,3,15.45,46.35,23.4,FALSE
TRUE,LPWSSCRUFF150M,LP wild stylers scruff me 150m,LOREAL,LOREAL,RETAIL,25,1,3,3,14.7,14.7,45,FALSE
TRUE,MISC,,,,,0,-3,0,0,0,0,72.72,FALSE
TRUE,NEUAO75M,NeuMa Argan Oil 75ml,TBBS,KM,RETAIL,33,0,0,0,16.5,0,29.7,FALSE
TRUE,NEUBDL250ML,NeuMa Blowdry Lotion 250ml,TBBS,KM,RETAIL,33,0,0,0,16.5,0,29.7,FALSE
TRUE,NEUCLAY50G,NeuMa Clay 50g,TBBS,KM,RETAIL,32,1,1,1,16,16,28.8,FALSE
TRUE,POCF200ML,PO color fanatic 200ml,LOREAL,PURE,RETAIL,30.5,4,3,3,18.3,73.2,167.75,FALSE
