Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST
10,03/15/2018,Women's hair cut,KERT01,JJ,1,82,4.1,6.56
100,04/05/2018,Women's hair cut,COOM01,SINEAD,1,70,3.5,5.6
1000,06/09/2018,Consultation,PEDM01,JJ,1,0,0,0
1001,06/09/2018,Women's hair cut,BAIS01,KELLY,1,55,2.75,4.4
1003,06/09/2018,Women's hair cut,FRAL01,KELLY,1,65,3.25,5.2
1003,06/09/2018,Color full color,FRAL01,JOANNE,1,75,3.75,6
1006,06/09/2018,Blowdry,LEVL01,JJ,1,0,0,0
1007,06/09/2018,Women's hair cut,JASA01,JJ,1,102,5.1,8.16
1008,06/09/2018,Women's hair cut,CHOT01,KELLY,1,45,2.25,3.6
1008,06/09/2018,Smart Bond,CHOT01,KELLY,1,25,1.25,2
1009,06/09/2018,Women's hair cut,KUZD01,KELLY,1,65,3.25,5.2
1009,06/09/2018,Color touch up,KUZD01,JOANNE,1,60,3,4.8
101,04/05/2018,Men's hair cut,TINT01,BECKY,1,30,1.5,2.4
1010,06/09/2018,Women's hair cut,NEMM01,JJ,1,82,4.1,6.56
1011,06/09/2018,Blowdry,OBRK01,KELLY,1,35,1.75,2.8
1012,06/12/2018,Blowdry,PER*01,JJ,1,52,2.6,4.16
1013,06/12/2018,Men's hair cut,LEEP01,JJ,1,60,3,4.8
1014,06/12/2018,Blowdry,NELT01,JJ,1,52,2.6,4.16
1015,06/12/2018,Men's hair cut,LEL01,KELLY,1,35,1.75,2.8
1015,06/12/2018,Shu cleansing oil sh400ml,LEL01,KELLY,1,50.4,2.52,4.032
1016,06/12/2018,Women's hair cut,MORB01,JJ,1,102,5.1,8.16
1016,06/12/2018,Color touch up,MORB01,JOANNE,1,70,3.5,5.6
1019,06/12/2018,Smart Bond,ALCV01,KELLY,1,25,1.25,2
1019,06/12/2018,Balayage,ALCV01,KELLY,1,170,8.5,13.6
1019,06/12/2018,Color toner,ALCV01,KELLY,1,45,2.25,3.6
