Country,Population,O+,A+,B+,AB+,O?,A?,B?,AB?
Armenia,2931568,0.29,0.463,0.12,0.056,0.02,0.037,0.01,0.004
Norway,5330986,0.33,0.415,0.068,0.034,0.06,0.075,0.012,0.006
Cyprus,1189395,0.3522,0.4035,0.1111,0.0472,0.0385,0.0348,0.0087,0.004
Portugal,10264672,0.363,0.4,0.066,0.029,0.06,0.066,0.011,0.005
Switzerland,8454321,0.35,0.4,0.07,0.03,0.06,0.07,0.01,0.01
Japan,126044340,0.299,0.398,0.199,0.099,0.0015,0.002,0.001,0.0005
Uganda,43276492,0.437,0.39,0.107,0.039,0.013,0.01,0.003,0.001
Cameroon,24515533,0.428,0.388,0.12,0.033,0.014,0.012,0.004,0.001
Finland,5541328,0.27,0.38,0.15,0.07,0.04,0.06,0.02,0.01
Turkey,80420065,0.298,0.378,0.142,0.072,0.039,0.047,0.016,0.008
Papua New Guinea,7952511,0.48,0.372,0.096,0.028,0.01,0.008,0.004,0.002
Austria,8592470,0.3,0.37,0.12,0.05,0.06,0.07,0.02,0.01
Bulgaria,7045097,0.28,0.37,0.13,0.07,0.05,0.07,0.02,0.01
Denmark,5711902,0.35,0.37,0.08,0.04,0.06,0.07,0.02,0.01
France,64939560,0.36,0.37,0.09,0.03,0.06,0.07,0.01,0.01
Germany,80635980,0.35,0.37,0.09,0.04,0.06,0.06,0.02,0.01
Liechtenstein,38140,0.34,0.37,0.1,0.04,0.06,0.065,0.018,0.007
Luxemburg,587297,0.35,0.37,0.09,0.04,0.06,0.06,0.02,0.01
Romania,19237087,0.28,0.37,0.14,0.07,0.05,0.06,0.02,0.01
Sweden,9920843,0.32,0.37,0.1,0.05,0.06,0.07,0.02,0.01
Bosnia and Herzegovina,3792730,0.31,0.36,0.12,0.06,0.05,0.07,0.02,0.01
Canada,36627140,0.39,0.36,0.076,0.025,0.07,0.06,0.014,0.005
Croatia,4207355,0.29,0.36,0.15,0.05,0.05,0.06,0.03,0.01
Czech Republic,10555152,0.27,0.36,0.15,0.07,0.05,0.06,0.03,0.01
Italy,59797969,0.39,0.36,0.075,0.025,0.07,0.06,0.015,0.005
Slovakia,5432265,0.272,0.357,0.153,0.068,0.048,0.063,0.027,0.012
United States,326481533,0.374,0.357,0.085,0.034,0.066,0.063,0.015,0.006
Serbia,8776827,0.3192,0.3528,0.126,0.042,0.0608,0.0672,0.024,0.008
Netherlands,17033012,0.395,0.35,0.067,0.025,0.075,0.07,0.013,0.005
United Kingdom,65512375,0.37,0.35,0.08,0.03,0.07,0.07,0.02,0.01
Argentina,44270440,0.454,0.3426,0.0859,0.0264,0.084,0.0044,0.0021,0.0006
Belgium,11444053,0.38,0.34,0.086,0.041,0.07,0.06,0.015,0.008
Brazil,211248418,0.36,0.34,0.08,0.025,0.09,0.08,0.02,0.005
Israel,8323659,0.32,0.34,0.17,0.07,0.03,0.04,0.02,0.01
Macedonia,2083690,0.3,0.34,0.15,0.06,0.05,0.06,0.03,0.01
Spain,46070163,0.36,0.34,0.08,0.025,0.09,0.08,0.02,0.005
Ukraine,44404078,0.32,0.34,0.15,0.05,0.05,0.06,0.02,0.01
South Korea,50748307,0.279,0.3387,0.2692,0.1098,0.001,0.0013,0.0008,0.0002
Cuba,11486750,0.458,0.335,0.102,0.029,0.036,0.028,0.01,0.002
Fiji,912208,0.43,0.333,0.165,0.048,0.01,0.007,0.005,0.002
Hungary,9787801,0.27,0.33,0.16,0.08,0.05,0.07,0.03,0.01
Lithuania,2827573,0.36,0.33,0.11,0.04,0.07,0.06,0.02,0.01
Slovenia,2071258,0.31,0.33,0.12,0.06,0.07,0.07,0.03,0.01
Greece,10892849,0.374,0.329,0.11,0.037,0.07,0.05,0.02,0.01
Lebanon,6039438,0.384,0.323,0.095,0.032,0.077,0.065,0.017,0.007
New Zealand,4604996,0.38,0.32,0.09,0.03,0.09,0.06,0.02,0.01
Poland,38563480,0.31,0.32,0.15,0.07,0.06,0.06,0.02,0.01
South Africa,55437815,0.39,0.32,0.12,0.03,0.06,0.05,0.02,0.01
Republic of Moldova,4043722,0.285,0.318,0.176,0.07,0.05,0.06,0.03,0.011
North Korea,25432033,0.2715,0.3108,0.3015,0.1132,0.0008,0.001,0.001,0.0003
Australia,24642693,0.4,0.31,0.08,0.02,0.09,0.07,0.02,0.01
Latvia,1944122,0.306,0.31,0.17,0.06,0.054,0.06,0.03,0.01
Estonia,1305745,0.295,0.308,0.207,0.063,0.043,0.045,0.03,0.009
Malaysia,31165480,0.3432,0.3035,0.2737,0.0746,0.0017,0.0015,0.0014,0.0004
Russia,143374801,0.28,0.3,0.2,0.07,0.049,0.058,0.032,0.011
Syria,18920698,0.43,0.3,0.14,0.037,0.05,0.03,0.01,0.003
Mexico,130227836,0.5579,0.299,0.08,0.0163,0.027,0.015,0.004,0.0008
Bolivia,11053376,0.5153,0.2945,0.1011,0.0115,0.0439,0.0273,0.0054,0.001
Philippines,103801747,0.369,0.289,0.269,0.0697,0.001,0.001,0.001,0.0003
